Item Name,Link,Vendor,Quantity,Total Price (USD)
Heatsink 60x20x10mm,https://shopee.com.my/Heatsink-40x40x11-mm-Aluminium-Clear-Black-Gold-Anodized-i.6674515.812567757,Shopee,2,0.85
MLT8530 Buzzer 5v,https://shopee.com.my/5Pcs-SMD-Magnetic-Piezo-Loudspeaker-Speaker-Buzzer-8630-1109-9045-9025-9018-5020-1230-9032-7525-8630-8540-Passive-9650-Active-i.1649836180.27542857025,Shopee,1,1.45
Capacitor 100nF 50v (0603),https://shopee.com.my/100pcs-0603-1608-SMD-Chip-Multilayer-Ceramic-Capacitor-0.1pF-22uF-10pF-22pF-100pF-1nF-10nF-15nF-100nF-0.1uF-1uF-2.2uF-4.7uF-10-i.1649836180.27542857041,Shopee,1,0.90
Capacitor 10nF 50v (0603),https://shopee.com.my/100pcs-0603-1608-SMD-Chip-Multilayer-Ceramic-Capacitor-0.1pF-22uF-10pF-22pF-100pF-1nF-10nF-15nF-100nF-0.1uF-1uF-2.2uF-4.7uF-10-i.1649836180.27542857041,Shopee,1,0.98
Capacitor 1uF 25v (0603),https://shopee.com.my/100pcs-0603-1608-SMD-Chip-Multilayer-Ceramic-Capacitor-0.1pF-22uF-10pF-22pF-100pF-1nF-10nF-15nF-100nF-0.1uF-1uF-2.2uF-4.7uF-10-i.1649836180.27542857041,Shopee,1,0.91
Capacitor 47nF 50v (0603),https://shopee.com.my/100pcs-0603-1608-SMD-Chip-Multilayer-Ceramic-Capacitor-0.1pF-22uF-10pF-22pF-100pF-1nF-10nF-15nF-100nF-0.1uF-1uF-2.2uF-4.7uF-10-i.1649836180.27542857041,Shopee,1,0.94
Capacitor 4.7uF 16v (0603),https://shopee.com.my/100pcs-0603-1608-SMD-Chip-Multilayer-Ceramic-Capacitor-0.1pF-22uF-10pF-22pF-100pF-1nF-10nF-15nF-100nF-0.1uF-1uF-2.2uF-4.7uF-10-i.1649836180.27542857041,Shopee,1,1.50
Capacitor 10uF 25v (0805),https://shopee.com.my/100pcs-0805-SMD-Chip-Multilayer-Ceramic-Capacitor-0.5pF-47uF-10pF-22pF-100pF-1nF-10nF-100nF-0.1uF-1uF-2.2uF-4.7uF-10uF-22uF-i.1649836180.56864018438,Shopee,1,3.86
Tantalum Capacitor 33uF 10v (A),https://shopee.com.my/10Pcs-3216A-SMD-Tantalum-Capacitor-100-220-330-470-1UF-2.2UF-3.3UF-4.7UF-6.8UF-22UF-33UF-47UF-100UF-4V-6.3V-10V-16V-20V-25V-35V-i.1649836180.55607396414,Shopee,1,1.90
Diode SS14,https://shopee.com.my/10-Pieces-SB1045L-SB10100L-SL1045-B240A-SS12-SS14-SS16-SS24-SS26-SS34-SS36-SS54-SS56-SS110-SS210-SS2200-DSK16-DSK24-DSK26-i.1649836180.47204908404,Shopee,1,0.82
Inductor 1uH (0420),https://shopee.com.my/5PCS-SMD-Molding-Power-Inductors-0420-0520-0530-0630-0650-1040-1265-1R0-2R2-6R8-1UH-2.2-3.3-4.7-6.8-33-100UH-2.2UH-Inductance-i.1649836180.45952518693,Shopee,2,2.10
Resistor 5.1k (0603),https://shopee.com.my/200pcs-0603-5-SMD-Resistor-0R-~-10M-1-10W-10-100-150-220-330-470-ohm-1K-2.2K-4.7K-10K-100K-1M-1R-10R-100R-150R-220R-330R-470R-i.1649836180.57850021816,Shopee,1,0.75
